,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
563,01/24/2022 12,69.86,136.29,10807.0
564,01/24/2022 13,80.2,136.32,10847.0
565,01/24/2022 14,79.46,136.35,10901.0
566,01/24/2022 15,66.18,136.36,10840.0
567,01/24/2022 16,62.23,136.37,10809.0
568,01/24/2022 17,302.39,136.7,10935.0
569,01/24/2022 18,613.84,137.46,11001.0
570,01/24/2022 19,387.08,137.91,10840.0
571,01/24/2022 20,97.52,137.96,10727.0
572,01/24/2022 21,146.63,138.08,10606.0
573,01/24/2022 22,142.81,138.2,10405.0
574,01/24/2022 23,62.13,138.21,10111.0
