Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/24/2020 21,29.08,122.77,10551
01/24/2020 22,29.12,122.76,10376
01/24/2020 23,29.11,122.75,10135
01/24/2020 24,29.11,122.73,9841
01/25/2020 01,28.29,122.72,9577
01/25/2020 02,28.98,122.71,9515
01/25/2020 03,26.58,122.71,9433
01/25/2020 04,28.42,122.71,9413
01/25/2020 05,25.84,122.7,9390
01/25/2020 06,25.73,122.7,9483
01/25/2020 07,25.03,122.69,9628
01/25/2020 08,26.41,122.69,9888
01/25/2020 09,28.95,122.69,10106
01/25/2020 10,31.04,122.69,10180
01/25/2020 11,35.99,122.7,10252
01/25/2020 12,36.09,122.71,10219
01/25/2020 13,34.7,122.72,10178
01/25/2020 14,34.72,122.73,10086
01/25/2020 15,34.8,122.74,9997
01/25/2020 16,34.81,122.75,10047
01/25/2020 17,35.52,122.76,10200
01/25/2020 18,36.95,122.77,10549
01/25/2020 19,36.76,122.78,10581
01/25/2020 20,36.68,122.79,10416
01/25/2020 21,36.54,122.8,10285
01/25/2020 22,36.53,122.82,10131
01/25/2020 23,36.52,122.83,9956
01/25/2020 24,36.65,122.84,9739
01/26/2020 01,38.19,122.86,9556
01/26/2020 02,36.53,122.87,9448
01/26/2020 03,36.2,122.88,9403
01/26/2020 04,36.27,122.89,9422
01/26/2020 05,36.21,122.9,9439
01/26/2020 06,36.19,122.92,9475
01/26/2020 07,37.35,122.93,9624
01/26/2020 08,38.12,122.94,9851
01/26/2020 09,38.37,122.95,10054
01/26/2020 10,38.49,122.96,10161
01/26/2020 11,38.53,122.97,10281
01/26/2020 12,38.49,122.98,10319
01/26/2020 13,36.72,122.99,10286
01/26/2020 14,36.71,122.99,10249
01/26/2020 15,36.14,123,10248
01/26/2020 16,34.74,123,10274
01/26/2020 17,35.87,123,10502
01/26/2020 18,36.58,123,10812
01/26/2020 19,36.59,123.01,10821
01/26/2020 20,35.25,123,10698
01/26/2020 21,34.7,123,10554
01/26/2020 22,34.72,123,10358
01/26/2020 23,31.93,123,10033
01/26/2020 24,29.25,122.99,9768
01/27/2020 01,28.99,122.99,9627
01/27/2020 02,28.96,122.98,9557
01/27/2020 03,28.99,122.97,9526
01/27/2020 04,29,122.96,9506
01/27/2020 05,29.56,122.95,9538
01/27/2020 06,31.77,122.95,9739
01/27/2020 07,35.14,122.94,10170
01/27/2020 08,36.34,122.94,10676
01/27/2020 09,38.12,122.95,10834
01/27/2020 10,37.84,122.95,10776
01/27/2020 11,36.63,122.95,10807
01/27/2020 12,36.65,122.95,10789
01/27/2020 13,36.58,122.95,10717
01/27/2020 14,36.46,122.95,10658
01/27/2020 15,34.63,122.95,10586
01/27/2020 16,34.66,122.95,10622
01/27/2020 17,34.64,122.95,10757
01/27/2020 18,36.39,122.95,11063
01/27/2020 19,36.56,122.95,11087
01/27/2020 20,36.08,122.96,10975
01/27/2020 21,34.72,122.96,10810
01/27/2020 22,35.11,122.97,10527
01/27/2020 23,31.65,122.98,10216
01/27/2020 24,29.45,122.98,9933
01/28/2020 01,29.21,122.98,9751
01/28/2020 02,25.66,122.98,9708
01/28/2020 03,30.62,122.98,9651
01/28/2020 04,29.58,122.98,9587
01/28/2020 05,33.25,122.99,9648
01/28/2020 06,35.46,122.99,9843
01/28/2020 07,36.79,122.99,10207
01/28/2020 08,37.01,122.99,10720
01/28/2020 09,58.57,123.03,10841
